name,genre,rating_val,nearest_station,address
Seika Kobayashi,Japanese food,3.78,Akebonobashi Station,東京都新宿区荒木町10-17 101
Arakawa,"Japanese cuisine, Japanese food (other)",3.78,Azabu Juban Station,東京都港区麻布十番1-5-7 1F
Akanesaka Onuma,"Japanese cuisine, Japanese sake bar",3.78,Akasaka Station,東京都港区赤坂3-12-2 赤坂慶和ビル 3F
lotus,Chinese cuisine,3.78,Shirokane Takanawa Station,東京都港区白金4-1-7
Rich curry restaurant Asano,"Curry rice, curry (other)",3.78,Machida station,東京都町田市原町田4-5-19 町田仲見世飲食街
Fuunji Shinjuku Main Store,"Ramen, Tsukemen",3.78,Minami-Shinjuku Station,東京都渋谷区代々木2-14-3 北斗第一ビルB1F
Shinkawa Delhi,"Indian curry, Indian food",3.78,Hatchobori Station,東京都中央区新川1-28-35 鳴門ビル1F
La Boutique de Joël Robuchon Marunouchi Brick Square,"bread, cake, cafe",3.78,Nijubashi-mae Station,東京都千代田区丸の内二丁目6番1号 丸の内ブリックスクエア1階
Chibaya,"Japanese sweets, sweets (other)",3.78,Asakusa (Tsukuba EXP) Station,東京都台東区浅草3-9-10
Mizuho,"Japanese sweets, Daifuku",3.78,Meiji Jingumae Station,東京都渋谷区神宮前6-8-7
Sushi Imamura,sushi,3.78,Shirokanedai Station,東京都港区白金6-5-9 マンション芝白金II 1F
Watabe,"Eel, Seafood, Seafood, Japanese",3.78,Kasuga Station,東京都文京区小石川1-9-14 アトラスタワー小石川 1Ｆ
curry straw pillow,"Curry rice, soup curry, curry (other)",3.78,Shinjuku Gyoemmae Station,東京都新宿区新宿2-4-9 中江ビル 2F
Secret hall,"shaved ice, sweets shop",3.78,Sendagi Station,東京都台東区谷中3-11-18
Taiyaki holly,"Taiyaki/Obanyaki, Soft serve ice cream",3.78,Ebisu Station,東京都渋谷区恵比寿1-4-1 恵比寿アーバンハウス 1F
La Bonne Table,"Modern French, bistro, wine bar",3.78,Mitsukoshimae Station,東京都中央区日本橋室町2-3-1 コレド室町2 1F
Murgi,"curry rice, indian curry",3.78,Shinsen Station,東京都渋谷区道玄坂2-19-2
Texture,"Spanish food, Chinese food",3.78,Hibiya Station,東京都千代田区有楽町1-7-1 有楽町電気ビル 1F
Kashiwagi,ramen,3.78,Higashinakano Station,東京都中野区東中野1-36-7
Tokyo Chinese Ichirin,"Sichuan cuisine, Chinese cuisine, seafood/seafood dishes",3.78,Shintomicho Station,東京都中央区築地1-5-8 樋泉ビル 1F
Waguri-ya Yanaka store,"Sweets (other), cake, ice cream",3.78,Sendagi Station,東京都台東区谷中3-9-14
Tsukemen Gonokami Factory,tsukemen,3.78,Shinjuku Sanchome Station,東京都渋谷区千駄ヶ谷5-33-16 シャトレー新宿御苑第一 1F
Kuromatsu Honpo Sogetsu,"Japanese sweets, dorayaki",3.78,Higashijujo Station,東京都北区東十条2-15-16
Mingji,Japanese food,3.78,Roppongi Station,東京都港区西麻布3-2-34 西麻布ヒルズ B1F
Sukiyabashi Jiro Roppongi Hills,sushi,3.78,Roppongi Station,東京都港区六本木6-12-2 レジデンスB棟 3F
Boulangerie Seiji Sakura,bread,3.78,Takanawadai Station,東京都港区高輪2-6-20 朝日高輪マンション104号
Ginza Ichibun,sushi,3.78,Shintomicho Station,東京都中央区銀座2-13-19 銀座アルカビル 1F
Fruit Parlor Fukunaga,"Fruit parlor, parfait, coffee shop",3.78,Yotsuya Sanchome Station,東京都新宿区四谷3-4 fビル 2F
RAMEN CIQUE,ramen,3.78,Minamiasagaya Station,東京都杉並区阿佐谷南3-10-8
ANOTHER SELF,"innovative fusion, italian",3.78,Jimbocho Station,東京都千代田区神田神保町2-2-32
Spice Ramen Manriki Nishikasai,"Ramen, Tsukemen",3.78,Nishikasai Station,東京都江戸川区西葛西3-16-5 スワームマンション 1F
Niboshi soba style.,"Ramen, tsukemen, abura soba",3.78,Jujo Station,東京都北区上十条1-13-2
La Boutique de Joel Robuchon Ebisu Garden Place,"bread, cakes, sandwiches",3.78,Ebisu Station,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス　シャトーレストラン　ジョエル・ロブション　Ｂ１Ｆ
Chicken Soba Mutahiro 2nd branch,"Ramen, Tsukemen",3.78,Kokubunji Station,東京都国分寺市本町2-3-6 タリホービル 1Ｆ右
mandarin bar,"lounge, bar, cafe",3.78,Mitsukoshimae Station,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F
Ramen Gantetsu,ramen,3.78,Waseda (Toden) Station,東京都新宿区西早稲田1-10-4
Dried Sardine Tsukemen Miyamoto,"Tsukemen, ramen",3.78,Kamata Station,東京都大田区西蒲田7-8-1 1F
Restaurant Kobayashi,French,3.78,Hirai Station,東京都江戸川区平井5-9-4
Pancake parlor Furufuru Akasaka store,"Fruit parlors, pancakes, parfaits",3.78,Akasaka Station,東京都港区赤坂2-17-52 パラッツォ赤坂 1F
Ristorante Pegaso,italian,3.78,Hiroo Station,東京都港区南青山7-12-12 ムジカーサ南青山 1F
Sushi Daichi,sushi,3.78,Hiroo station,東京都港区南麻布4-11-27 オリエンタル南麻布 1F
Soba Osame,Soba,3.78,Roppongi Station,東京都港区西麻布1-7-2 アデッソ西麻布 2F
Misuji Akasaka,"Yakiniku, Offal, Korean food",3.78,Akasakamitsuke Station,東京都港区赤坂3-16-3 伊勢幸ビル 2F
Katane Bakery,"bread, sandwich",3.77,Yoyogi-Uehara Station,東京都渋谷区西原1-7-5
Sichuan Dandan Noodles Aun Yushima Main Branch,"Dandan noodles, Soupless Dandan noodles",3.77,Yushima Station,東京都文京区湯島3-25-11
Tsukesoba Kanda Katsumoto,"Tsukemen, ramen",3.77,Jimbocho Station,東京都千代田区神田猿楽町1-2-4
Shimbashi Matoi,"Ramen, Tsukemen",3.77,Shimbashi Station,東京都港区新橋3-13-2 IKENO-5 1F
fruit parlor goto,"Fruit parlor, parfait, shaved ice",3.77,Asakusa (Tsukuba EXP) Station,東京都台東区浅草2-15-4
LITTLE,"Innovative Fusion, Modern French, Modern Spanish",3.77,Nagatacho Station,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 3F
mimosa,shanghai cuisine,3.77,Omotesando Station,東京都港区南青山3-10-40 フィオラ南青山ビル 2F
Patisserie SATSUKI,"cake, bread",3.77,Kojimachi Station,東京都千代田区紀尾井町4-1 ホテルニューオータニ東京 ロビィ階
little bear,Japanese food,3.77,Ginza station,東京都中央区銀座5-5-13 坂口ビル3F
Nezu Yakitori Terusumi,"Yakitori, chicken dishes",3.77,Nezu Station,東京都文京区根津1-1-21
Ramen Daishi,ramen,3.77,Ochanomizu Station,東京都文京区湯島2-1-2 佐藤ビル 1F
SOBA HOUSE Konjiki no Hojo Shinjuku Gyoen Main Store,"Ramen, Tsukemen",3.77,Shinjuku Gyoenmae Station,東京都新宿区新宿2-4-1 第22宮廷マンション 1F
Marugo,Pork cutlet,3.77,Akihabara Station,東京都千代田区外神田1-8-14
Akasaka Rigu Ginza store,"Cantonese cuisine, Chinese cuisine, dim sum/dim sum",3.77,Ginza station,東京都中央区銀座6-8-7 交詢ビル 5F
Ramen Jiro Mita Main Store,ramen,3.77,Mita Station,東京都港区三田2-16-4
Tempura Shimomura,Tempura,3.77,Shin-Okachimachi Station,東京都台東区三筋1-11-13
Toyoken,Western food,3.77,Akasakamitsuke Station,東京都港区元赤坂1-2-7 赤坂Kタワー 1F
Hand-made stone mill Sorakutei,"Soba, soba, udon, noodles (other), fried foods",3.77,Ushigome Kagurazaka Station,東京都新宿区神楽坂3-6 神楽坂館　１Ｆ
Edomae Sushi Sushidori,"Sushi, seafood/seafood dishes",3.77,Roppongi Station,東京都港区西麻布3-1-15 RFビルB1F
Yakiniku Ginza Kobau Special Room,"Yakiniku, Offal, Korean food",3.77,Ginza station,東京都中央区銀座6-7-6 ラペビル 8F
Oshima,ramen,3.77,Funabori Station,東京都江戸川区船堀6-7-13
RAMEN GOTTSU,"Ramen, Tsukemen, Abura soba",3.77,Nerima station,東京都練馬区練馬1-29-16
vineyard,"Indian curry, Izakaya",3.77,Kanda Station,東京都千代田区鍛冶町1-3-10 MJ神田ビル 5F
Chinese noodle shop Kiraku,"Ramen, Gyoza, Chinese food",3.77,Shinsen Station,東京都渋谷区道玄坂2-17-6
restaurant unic,"French, bistro, wine bar",3.77,Meguro Station,東京都目黒区目黒3-12-3 松田ビル １階
Yakumo,"Ramen, Tsukemen",3.77,Ikejiri Ohashi Station,東京都目黒区東山3-6-15 エビヤビル 1F
AOSAN Sengawa store,bread,3.77,Sengawa Station,東京都調布市仙川町1-3-5
Urano,French,3.77,Ichigaya Station,東京都千代田区九段南3-5-4 コーブ九段 1F
Yokota Amatsumi,Tempura,3.77,Azabu Juban Station,東京都港区元麻布3-11-3 パティオ麻布十番Ⅱ 3F
Takumi Sushi Owana,"Sushi, seafood/seafood dishes",3.77,Ebisu Station,東京都渋谷区恵比寿南1-17-17 TIMEZONEテラスビル 4F
Tajima Beef Club Charcoal Grilled Steak Ichinomiya,steak,3.77,Higashiginza Station,東京都中央区銀座5-14-14 サンリット銀座ビルⅢ 8F
Chignale Enoteca,italian,3.77,Shinsen Station,東京都目黒区駒場1-5-11
proud mountain,Grilled meat,3.77,Nogizaka Station,東京都港区西麻布1丁目15-9 ラ・アルタ西麻布1F
Beijing Dining Tour,"Chinese cuisine, Beijing cuisine",3.77,Ogikubo Station,東京都杉並区荻窪5-24-7 富士ビル　２Ｆ
FURUYA augastronome,"French, modern French, Western cuisine (other)",3.77,Akasaka Station,東京都港区赤坂4-3-9 赤坂藤マンション1F
Gavial,"European style curry, curry rice",3.77,Jimbocho Station,東京都千代田区神田神保町1-9 稲垣ビル 2Ｆ
Patisserie Ile Preux-sur-La Seine,cake,3.77,Daikanyama Station,東京都渋谷区猿楽町17-16 代官山フォーラム　２Ｆ
French Cuisine Estelle,French,3.77,Otemachi Station,東京都千代田区丸の内1-1-1 PALACE HOTEL TOKYO 6F
Miyuki Sushi,sushi,3.77,Shintomicho Station,東京都中央区新富1-15-11 マキプラザ 1F
Craftal,"Modern French, French, Innovative Fusion",3.77,Nakameguro Station,東京都目黒区青葉台1-16-11 2F
Chimoto,"Japanese sweets, sweets shops, shaved ice",3.77,Toritsudaigaku Station,東京都目黒区八雲1-4-6
rodin,"European curry, Indian curry, Thai curry",3.77,Takaracho Station,東京都中央区八丁堀3-8-4
Tempura Motoyoshi,Tempura,3.77,Ebisu Station,東京都渋谷区恵比寿西2-8-11 グランベル恵比寿Ⅳ 3F
Artisan Boulanger Cupid,"Bread, sandwiches, delicatessen",3.77,Okusawa Station,東京都世田谷区奥沢3-45-2 1F
Fudomae Sushi Iwasawa,sushi,3.77,Fudozen Station,東京都品川区西五反田5-6-11 NSVビル 1F
the scout,French,3.77,Daikanyama Station,東京都渋谷区代官山町6-6 SPT代官山ビルディング 1F
Kaeru Shokudo,"Curry rice, cake, curry (other)",3.77,Kanamecho Station,東京都豊島区池袋3-6-1 第2京花荘 1F
La Boutique de Joël Robuchon Roppongi Hills,pancake,3.77,Roppongi Station,東京都港区六本木6-10-1 六本木ヒルズ ヒルサイド 2F
Kushiage Pyon Minoru Hasegawa Lab,"Kushiage, innovative fusion",3.77,Shirokanedai Station,東京都港区白金台5-4-7 バルビゾン25 1F 101号室Aブロック
L&#39;Octave Hayato KOBAYASHI,French,3.77,Kitasando Station,東京都渋谷区千駄ヶ谷3-30-9 モデリアブリュット 101
Canteen colorful,ramen,3.77,Metropolitan Kasei Station,東京都中野区鷺宮3-1-12
Karen&#39;s shop udon,Soup Curry,3.77,Osakihirokoji Station,東京都品川区西五反田2-31-5
French Cuisine Tanmore,French,3.77,Nogizaka Station,東京都港区赤坂8-13-19 インペリアル赤坂壱番館 B1F
Tekona Bagel Works,"bagels, bread, sandwiches",3.77,Yoyogi Koen Station,東京都渋谷区富ヶ谷1-51-12 代々木公園ハウス B1F
Tornavento,italian,3.77,Roppongi Station,東京都港区西麻布3-21-14 覚張ビル　Ｂ１Ｆ
Nishiazabu Otake,Japanese food,3.77,Nogizaka Station,東京都港区西麻布1-4-23 コア西麻布 1F
choucry,"Cakes, sweets (other)",3.77,Ningyocho Station,東京都中央区日本橋人形町1-5-5 セントハイム人形町源　１Ｆ
Maison de Euron,"Shanghai cuisine, Dandan noodles",3.77,Akasaka Station,東京都港区赤坂4-13-18
TAIAN TOKYO,"French, modern French, innovative fusion",3.77,Hiroo station,東京都港区西麻布4-8-12 マノワール西麻布 B1F
Wine Restaurant La Margherita,italian,3.77,Zoshiki Station,東京都大田区西六郷2-39-5
Criollo Nakameguro store,"cake, chocolate, macarons",3.77,Nakameguro Station,東京都目黒区上目黒1-23-1 中目黒アリーナ103
Parlor Ekoda,"bread, sandwich, cafe",3.77,Shinsakuradai Station,東京都練馬区栄町41-7
Madam Toki,French,3.77,Daikanyama Station,東京都渋谷区鉢山町14-7
indian curry karma,"Indian curry, curry rice",3.77,Jimbocho Station,東京都千代田区神田猿楽町1-2-3 ＵＴビル 1F
L&#39;Art et la Manière,"French, modern French",3.77,Ginza station,東京都中央区銀座3-4-17 オプティカ　Ｂ１Ｆ
Chicken Koku Chinese Suzuki,ramen,3.77,Mitaka Station,東京都三鷹市下連雀3-28-21 公団三鷹駅前第2アパートB 1
Yanagiya,"Taiyaki/Obanyaki, ice cream",3.77,Ningyocho Station,東京都中央区日本橋人形町2-11-3
restaurant robes,French,3.77,Akabanebashi Station,東京都港区東麻布1-17-9 アネックス東麻布 2F
ENEKO Tokyo,"Modern Spanish, French, Wine Bar",3.77,Roppongi Station,東京都港区西麻布3-16-28 TOKI-ON 西麻布
L&#39;Atelier du Pin,"bread, cafe",3.77,Roppongi Station,東京都港区六本木6-1-12 21六本木ビル 1F
Curry &amp; Wine Bistro Beppinsha Ochanomizu Branch,"curry rice, wine bar, natural food",3.77,Jimbocho Station,東京都千代田区神田小川町3-10-1 駿台ビル 2F
Shoan,"soba, japanese food",3.76,Yotsuya Sanchome Station,東京都新宿区荒木町3 北島ビル 1F
Ramen Jiro Hibarigaoka Station Store,ramen,3.76,Hibarigaoka Station,東京都西東京市谷戸町3-27-24 ひばりがおかプラザ　１Ｆ
Patisserie salon de the Amitie,"Cake, cafe, confectionery (others)",3.76,Kagurazaka Station,東京都新宿区築地町8-10 KDXレジデンス神楽坂 1F
Shigematsu,Japanese food,3.76,Ginza Station,東京都中央区銀座6-5-15 銀座能楽堂ビル 4F
Noodle shop Nemuru,ramen,3.76,Hongo Sanchome Station,東京都文京区本郷4-3-2
Boulangerie &amp; Cafe Mammano,"bread, cafe, sandwich",3.76,Yoyogi-Uehara Station,東京都渋谷区西原3-6-5 MH代々木上原 1F
Duck soup Chinese noodles Menya yoshiki,"Ramen, Tsukemen",3.76,Shinkoiwa Station,東京都葛飾区東新小岩1-3-7
L&#39;Atelier Motozo,"cake, cafe",3.76,Ikejiri Ohashi Station,東京都目黒区東山3-1-4 ニューリバー東山　1Ｆ
stone knife,eel,3.76,Edogawabashi Station,東京都文京区水道2-4-29
Menya Suzuharu,"Ramen, Tsukemen",3.76,Hongo Sanchome Station,東京都文京区本郷2-26-1 福重ビル 1F
Dhaba India,"Indian food, Indian curry",3.76,Kyobashi Station,東京都中央区八重洲 2-7-9 相模ビル　１Ｆ
Rinascimento,"italian, steak, pasta",3.76,Meguro Station,東京都目黒区下目黒2-23-2 1F
Ristorante La Barique Tokyo,italian,3.76,Edogawabashi Station,東京都文京区水道2-12-2
Shin Nogizaka,"Japanese cuisine, wine bar",3.76,Nogizaka Station,東京都港区赤坂8-11-19 エクレール乃木坂 1F
dominique bouchet tokyo,"french, modern french",3.76,Ginza-itchome Station,東京都中央区銀座1-5-6 銀座レンガ通り福神ビル 2F
Nodoguro Specialty Ginza Nakamata,"Izakaya, seafood/seafood dishes",3.76,Higashi Ginza Station,東京都中央区銀座4-10-12 銀座サマリアビル B1
Miso noodle place Hanamichian,"Ramen, Tsukemen",3.76,Nogata Station,東京都中野区野方6-23-12
margot et bachare,"Innovative Fusion, French, Modern French",3.76,Hiroo station,東京都港区西麻布4-2-6 菱和パレス 1F
Oniyamma Gotanda main store,Udon,3.76,Gotanda Station,東京都品川区西五反田1-6-3
Sure,"Modern Spanish, Spanish Cuisine, Innovative Fusion",3.76,Shimbashi Station,東京都港区新橋1-8-4 SMBC新橋 2F
Usuki Fugu Yamadaya Nishiazabu,"Fugu, Japanese food, seafood dishes",3.76,Hiroo station,東京都港区西麻布4-11-14 ＦＬＥＧ西麻布ＶＩＥＲＧＥ地階Ａ
Menya Kaijin Shinjuku branch,"Ramen, rice bowls (other)",3.76,Shinjuku Station,東京都新宿区新宿3-35-7 さんらくビル　２Ｆ
Lyra,"french, modern french",3.76,Akasaka Station,東京都港区赤坂7-5-34 インペリアル赤坂フォーラム 1Ｆ
The Peninsula Boutique &amp; Cafe,"cake, cafe, bread",3.76,Hibiya Station,東京都千代田区有楽町1-8-1 ザ・ペニンシュラ東京　Ｂ１Ｆ
China Hotel Roppongi,"Chinese food, Shanghai food",3.76,Roppongi Station,東京都港区西麻布1-1-5 オリエンタルビル　１Ｆ・２Ｆ
Ramen Yamaguchi Akashiki Main Store,"Ramen, soupless dandan noodles",3.76,Toyocho Station,東京都江東区東陽4-6-3 栗林ビル1F
Sake dishes Shinyashiki,Izakaya,3.76,Nishiwaseda Station,東京都新宿区高田馬場2-2-15
La Table de Joël Robuchon,"french, modern french",3.76,Ebisu Station,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス　シャトーレストラン　ジョエル・ロブション　１Ｆ
Yakitori Shinohara,"Yakitori, chicken dishes",3.76,Nogizaka Station,東京都港区西麻布1-4-40 SHINOビル 1F
fiorentina pastry boutique,"cake, bread, chocolate",3.76,Roppongi Station,東京都港区六本木6-10-3 グランド ハイアット 東京 1F ロビーフロア
Zhongshi Yi Koishikawa store,"Steak, Teppanyaki, Yakiniku",3.76,Myogadani Station,東京都文京区小石川5-10-18
chanterelle,French,3.76,Yoyogi Hachiman Station,東京都渋谷区元代々木町24-1 アブニ―ル元代々木 1F
Umemura,"Sweets shop, shaved ice, Japanese sweets",3.76,Asakusa (Tsukuba EXP) Station,東京都台東区浅草3-22-12
Crumb &amp; Bonito shellfish noodles like,"Ramen, Tsukemen",3.76,Honancho Station,東京都杉並区方南2-21-21
Sushi Rinda,"Sushi, Japanese food (other), Japanese cuisine",3.76,Fudozen Station,東京都目黒区下目黒2-24-12 イメージスタジオ109 1F
Chinese noodles Shinagawa,"Ramen, Tsukemen",3.76,Kanamecho Station,東京都豊島区西池袋4-19-14
Qiao Chao,ramen,3.76,Awajicho Station,東京都千代田区神田淡路町2-4-4 アール神田淡路町 B1F
Serarabaad,"Innovative Fusion, Modern Spanish, Modern French",3.76,Yoyogi-Uehara Station,東京都渋谷区上原2-8-11 TWIZA上原　1F
La Thuelle,French,3.76,Kagurazaka Station,東京都新宿区神楽坂6-8 ボルゴ大〆 2F
Rich Ramen Kanaya,"Ramen, Taiwanese Mazesoba, Tsukemen",3.76,Honancho Station,東京都杉並区堀ノ内1-3-13 ライオンズプラザ方南町 1-D
Patisserie Love Ricochie,"cake, cafe",3.76,Koenji Station,東京都中野区大和町1-66-3
Sanchokuya Taka,"Izakaya, seafood/seafood dishes",3.76,Shinsen Station,東京都渋谷区円山町12-2 ライオンズマンション渋谷 B1F
nata de cristiano,"Sweets (other), bread, cake",3.76,Yoyogi Koen Station,東京都渋谷区富ヶ谷1-14-16-103
Sushi Sagawa,sushi,3.76,Roppongi Station,東京都港区六本木4-2-35 アーバンスタイル六本木三河台 B1F
Beef bone ramen matador,ramen,3.76,Kitasenju Station,東京都足立区千住東2-4-17 中村ビル１Ｆ
Patisserie Lesanefort Ebisu main store,cake,3.76,Daikanyama Station,東京都渋谷区恵比寿西1-21-3 グレイス代官山 1F
Restaurant Aladdin,French,3.76,Hiroo station,東京都渋谷区恵比寿2-22-10 広尾リバーサイドＧ　１Ｆ
Arcachon main store,"cake, bread, cafe",3.76,Hoya Station,東京都練馬区南大泉5-34-4
Patisserie Cacao et Paris,"Cakes, Western sweets (other), cafes",3.76,Nakameguro Station,東京都目黒区東山1-9-6
BLAKES,"Curry rice, dining bar",3.76,National stadium station,東京都渋谷区神宮前2-20-13 神宮前TNビル 2F
REIKASAI GINZA,"Beijing cuisine, Chinese cuisine, medicinal dishes",3.76,Ginza-itchome Station,東京都中央区銀座1-7-7 ポーラ銀座ビル ９F
Tempura Maedaira,Tempura,3.76,Azabujuban Station,東京都港区麻布十番2-8-16 ISIビル 4F
Fish Shinjuku store,Curry Rice,3.76,Seibu Shinjuku Station,東京都新宿区西新宿7-5-6 新宿ダイカンプラザ756 2F
Homemade noodles Ito,ramen,3.76,Akabane Station,東京都北区赤羽1-2-4
Soup Curry Shop Ko Kanda Surugadai Branch,"curry rice, soup curry",3.76,Jimbocho Station,東京都千代田区神田小川町3-10-18
maison dani,"Cakes, breads/sandwiches (other)",3.76,Shirokane Takanawa Station,東京都港区白金1-11-15 1F
Tempura Soba,Tempura,3.76,Wakamatsukawada Station,東京都新宿区余丁町1-14
Maison Paul Bocuse,"French, modern French, innovative fusion",3.76,Daikanyama Station,東京都渋谷区猿楽町17-16 代官山フォーラム　Ｂ１Ｆ
CHEESE,cake,3.76,Shirokane Takanawa Station,東京都港区白金1-14-10 1F
Maison Landumenne Azabudai,"Bread, confectionery (others), cafe",3.76,Roppongi Itchome Station,東京都港区麻布台3-1-5
Mochibuta pork cutlet,Pork cutlet,3.76,Musashi Koyama Station,東京都品川区小山3-22-7 メゾンいずみ　１－１１２
blondir,"cake, bread",3.76,Shakujii Koen Station,東京都練馬区石神井町4-28-12
Beckalei Brodheim,"Bread, confectionery (others), cafe",3.76,Sakurashinmachi Station,東京都世田谷区弦巻4-1-17
China Hotel Amber Palace,Chinese cuisine,3.76,Otemachi Station,東京都千代田区丸の内 1-1-1 パレスホテル東京 5F
Cihua,Chinese cuisine,3.76,Gaienmae Station,東京都港区南青山2-14-15 五十嵐ビル 2F
petit à la campagne,"European curry, Western cuisine (other)",3.76,Hanzomon Station,東京都千代田区一番町8-13 日興ロイヤルパレス一番町　１Ｆ
Restaurant Sant Pau,"Spanish cuisine, modern Spanish",3.76,Nagatacho Station,東京都千代田区平河町2-16-15 ザ・キタノホテル東京 2F
Tonkatsu Enraku,"Pork cutlet, katsudon, katsuju",3.76,Ikegami Station,東京都大田区池上6-1-4
Lautonne Nakano store,"cake, cafe, bread",3.76,Shin-Ekoda Station,東京都中野区江原町2-30-1
Itokito,"bread, sandwich",3.76,Ookayama Station,東京都大田区北千束1-54-10 佐野ビル　１Ｆ
WAJO,"Italian, innovative fusion",3.76,Daikanyama Station,東京都渋谷区代官山町18-6 ACN代官山ビル B1F
Curry and rice specialty store Brother,Curry Rice,3.76,Takadanobaba Station,東京都新宿区高田馬場2-19-7 タックイレブン1Ｆ
SATO Brian 7th,Grilled meat,3.76,Asagaya Station,東京都杉並区阿佐谷北2-3-2 BMビル
Koraku Sushi Yasuhide,"Sushi, seafood and seafood dishes, crab",3.76,Yotsuya Sanchome Station,東京都新宿区四谷三栄町5-2
Pork cutlet curry shop Ippekoppe Kamata main store,"Curry rice, pork cutlet, curry (other)",3.76,Kamata Station,東京都大田区蒲田5-43-7
genuine,"Yakiniku, Horumon",3.76,Suehirocho Station,東京都千代田区外神田6-14-7 2F
La Fason Koga,"French, curry rice",3.76,Yoyogiuehara Station,東京都渋谷区上原1-32-5 ロイヤルテラス 1F
patisserie three,"cake, bread",3.76,Yutenji Station,東京都目黒区五本木2-40-8
Minutes,bistro,3.76,Daikanyama Station,東京都渋谷区猿楽町2-5 佐藤エステートビル 1F
Aligotour,"Creative Cuisine, French, Wine Bar",3.76,Ebisu Station,東京都渋谷区恵比寿1-11-9 グランベル恵比寿Ⅲ8F
Kyoeido,"Curry rice, Hayashi rice, Sweets (other)",3.76,Jimbocho Station,東京都千代田区神田神保町1-6 神保町サンビルディング Ｂ１
Kobe Beef Charcoal Grilled Steak IDEA Ginza,"Steak, French, Charcoal-grilled",3.76,Ginza Station,東京都中央区銀座7-8-15 第2新橋会館 7F
Edomae Shibahama,Japanese food,3.76,Shibakoen Station,東京都港区芝2-22-23
Daya in front of the gate of Iriya Kishimojin,eel,3.76,Iriya Station,東京都台東区下谷2-3-1
Mejiro Shimura,"sweets shop, shaved ice, Japanese sweets",3.76,Mejiro station,東京都豊島区目白3-13-3
La Straada,Soba,3.76,Nakanosakaue Station,東京都中野区本町2-41-2
parlor laurel,"cake, cafe",3.76,Kuhonbutsu Station,東京都世田谷区奥沢7-24-3
The sun rises again,"Ramen, Tsukemen",3.76,Ayase Station,東京都足立区綾瀬2-1-4
La Vieille France main store,"Cakes, breads/sandwiches (other)",3.76,Chitose Karasuyama Station,東京都世田谷区粕谷4-15-6 グランデュール千歳烏山　１Ｆ
Torisawa,"Yakitori, Izakaya",3.76,Nakameguro Station,東京都目黒区上目黒1-5-13 メゾン中目黒 1F
eel family,eel,3.76,Higashi-Nagasaki Station,東京都豊島区南長崎5-18-17
factory,"bread, sandwiches, bagels",3.76,Ichigaya Station,東京都千代田区九段南3-7-10 アーバンキューブ九段南　1F
FRANZ,French,3.76,Shirokanedai Station,東京都港区白金6-2-17
Menya Hashimoto,ramen,3.76,Nakano station,東京都中野区新井1-25-4 中野ニューハウジング 1F
Pure handmade noodles and the future,ramen,3.76,Shimokitazawa Station,東京都世田谷区北沢3-25-1 シャトルヒエイ1F
Darumaya mochi confectionery shop,"Sweets shop, shaved ice, Japanese sweets",3.76,Jujo Station,東京都北区十条仲原1-3-6
series,"Chinese food, dim sum/Dim sum, Cantonese food",3.76,Roppongi Itchome Station,東京都港区麻布台3-4-11 麻布エスビル 1F
Mino apple,Curry Rice,3.76,Harajuku Station,東京都渋谷区神宮前1-22-7 ウエストビル 1F
Indian style curry rice spice,"curry rice, indian curry",3.75,Ogikubo Station,東京都杉並区荻窪5-16-20
Patisserie Tadashi Yanagi Yakumo store,"cake, bread",3.75,Toritsu University Station,東京都目黒区八雲2-8-11
Lucanque,"French, wine bar",3.75,Shirokanedai Station,東京都港区白金台5-17-11
chinese sleeper,Chinese cuisine,3.75,Shinsen Station,東京都渋谷区道玄坂2-23-13 渋谷デリタワー 2Ｆ
Yiping Hotel,"Chinese Cuisine, Yum Cha, Dessert",3.75,Azabujuban Station,東京都港区元麻布3-12-41
pink flower,"bread, bagels",3.75,Asakusa (Tsukuba EXP) Station,東京都台東区浅草3-25-6 1F
Wheat and Yeast Hamadaya Sangenjaya Main Store,bread,3.75,Nishitaishido Station,東京都世田谷区三軒茶屋2-17-11 グレイス三軒茶屋 1F
Chinese noodles Mankeiken,"Ramen, Tsukemen",3.75,Kinshicho Station,東京都墨田区江東橋2-5-3
le bourguignon,French,3.75,Roppongi Station,東京都港区西麻布3-3-1
Piat Suzuki,italian,3.75,Azabu Juban Station,東京都港区麻布十番1-7-7 はせべやビル　４Ｆ
Ginza Habsburg Feilchen,Western Cuisine (Other),3.75,Ginza station,東京都中央区銀座7-8-7 GINZA GREEN 7F
Mansalva,"Italian, Mediterranean, Pasta",3.75,Ebisu Station,東京都渋谷区恵比寿4-23-7 恵比寿レーベン 2F
Naive,Japanese food,3.75,Yotsuya Sanchome Station,東京都新宿区荒木町2-14 アイエス2ビル　 1Ｆ
O2,Chinese cuisine,3.75,Kiyosumi Shirakawa Station,東京都江東区三好2-15-12 峯岸ビル1F
emotion,"Japanese cuisine, chicken dishes, soba",3.75,Roppongi Station,東京都港区六本木4-12-5 六本木144ビル 3F
Yakitori shira,"Yakitori, Izakaya, Wine Bar",3.75,Umegaoka Station,東京都世田谷区梅丘1-22-1 y'sステート B1F
